State,"Baked goods, cereals, and pasta",Beef and beef products,Beer,Chocolate and cocoa products,Coarse grains (including corn),Cocoa beans,Cocoa paste and cocoa butter,"Coffee, unroasted",Condiments and sauces,Dairy products,"Dextrins, peptones, and proteins",Distilled spirits,Dog and cat food,Essential oils,Ethanol (non-bev.),Food preparations,Fresh fruit - avocados,Fresh fruit - bananas,Fresh fruit - berries,Fresh fruit - other,Fresh vegetables,Fruit and vegetable juices,Industrial alcohols and fatty acids,Live animals,Mfg. tobacco,Non-alcoholic bev. (ex. juices),Nursery products and cut flowers,Oilseed meal and cake,Oilseeds,Other feeds and grain products,Other livestock products,Other meat products,Planting seeds,Pork and pork products,Poultry products and eggs,Processed fruit and vegetables,Pulses,Raw beet and cane sugar,Rice,Roasted and instant coffee,Spices,"Sugars, sweeteners, bev. bases",Tea,"Tobacco, unmanufactured",Tree nuts,Vegetable oils,Wheat,Wine and related products,Yeast and baking powder
NH,46044996.0,56999624.0,2474276.0,64952976.0,7587344.0,466612.0,1475548.0,816052.0,4270440.0,41013984.0,2162352.0,3907012.0,857724.0,4185516.0,401452.0,24425340.0,0.0,0.0,9375644.0,2120896.0,14984748.0,29674708.0,912580.0,944532428.0,68148.0,30266876.0,33333040.0,1384344.0,850068.0,25725520.0,5828616.0,940249928.0,11574380.0,195224832.0,274780.0,63172420.0,453988.0,218660.0,1788256.0,3138584.0,4714676.0,128316392.0,23769400.0,0.0,19598080.0,3477696.0,18092.0,31494912.0,49546456.0
NJ,7852083824.0,3466420248.0,1632519076.0,1963938036.0,66232796.0,2955742868.0,1558764596.0,3334648092.0,1159504832.0,8014079884.0,455464820.0,5333900052.0,362318848.0,1677832424.0,78868536.0,1812796772.0,113793368.0,142392932.0,289158508.0,1252876548.0,2235859704.0,4287204624.0,519158296.0,7389604756.0,108598364.0,3373617304.0,345374476.0,8650576.0,126764160.0,905126980.0,584933460.0,9242365364.0,439043148.0,1599837572.0,115137588.0,8747945840.0,159503704.0,59496348.0,597415908.0,1796579692.0,1992369688.0,2297479384.0,2381732408.0,2162804.0,2488544920.0,3878309884.0,9015556.0,4221104004.0,1012777992.0
NM,25402036.0,11926636.0,683332.0,1070484.0,8243268.0,0.0,0.0,855672.0,1682820.0,3777524.0,822216.0,30419140.0,8810036.0,571208.0,0.0,1563672.0,0.0,451576.0,3712664.0,4757436.0,217279524.0,2016984.0,0.0,2583705364.0,0.0,1786076.0,2452012.0,133109796.0,344080.0,29574732.0,1377448.0,2443692896.0,2979220.0,546108.0,0.0,24703920.0,0.0,0.0,238004.0,1281372.0,129135360.0,9036116.0,2725292.0,0.0,132265672.0,678796.0,0.0,13840076.0,1682820.0
NV,93083380.0,27985368.0,4913816.0,36686620.0,3735236.0,207704.0,7939412.0,66156936.0,14128256.0,68720148.0,61061964.0,205664588.0,68985116.0,829184.0,0.0,59743964.0,84458140.0,34428.0,14224804.0,3272216.0,51921972.0,64170604.0,385964.0,1511468732.0,8766700.0,69334656.0,3004196.0,12686924.0,963080.0,5555616.0,10048236.0,1419850164.0,13521580.0,17380964.0,13730452.0,174398800.0,1714436.0,110000.0,2949848.0,25250472.0,42877200.0,77358448.0,92216368.0,26600.0,34845808.0,28784756.0,0.0,72118256.0,14555440.0
NY,2423555792.0,1052606612.0,526427816.0,871505060.0,84742276.0,297674956.0,191538832.0,1020991644.0,665173120.0,2165688124.0,91059608.0,5433404120.0,170978552.0,9027745268.0,55405444.0,1215677124.0,325142528.0,102375536.0,135993144.0,1474239588.0,1965658016.0,1910997236.0,89295660.0,28606000564.0,203097280.0,2018668884.0,472949964.0,611751840.0,159421040.0,688481128.0,506845836.0,27756900176.0,383836864.0,743785696.0,406049924.0,4580370888.0,113956524.0,369776784.0,411028344.0,464121080.0,913653144.0,1434771624.0,1537857796.0,49657764.0,875547224.0,1313338108.0,374801684.0,5823641344.0,545454200.0
OH,765354860.0,196466024.0,24133412.0,153037404.0,260484164.0,74984.0,18785160.0,6575752.0,152930600.0,501973948.0,76132376.0,180741812.0,386450192.0,182081476.0,9701744.0,336366564.0,0.0,17139540.0,4154888.0,13403716.0,1072829408.0,331659312.0,473901516.0,8419244232.0,4730944.0,348554836.0,391967908.0,71623220.0,37550296.0,323355204.0,213263400.0,8067913040.0,193070276.0,488131576.0,18056260.0,1005668700.0,11542212.0,291348.0,21459388.0,80169728.0,41035940.0,460317096.0,313999824.0,284760.0,72356800.0,1470174492.0,381461664.0,197205508.0,171267644.0
OK,107330396.0,201865288.0,1067772.0,3037500.0,5129820.0,0.0,0.0,1460160.0,3219472.0,25066380.0,4408572.0,7518744.0,103476200.0,329596.0,1003812.0,4697204.0,186560.0,0.0,1820740.0,1720308.0,84590772.0,7236620.0,21016.0,1932081816.0,0.0,5552504.0,52996564.0,4864708.0,3227144.0,5122956.0,2723980.0,1905606708.0,13378364.0,59480.0,1010968.0,72503820.0,3069888.0,0.0,5918404.0,2245896.0,3462912.0,10472184.0,7884432.0,0.0,60200.0,2071164.0,36260.0,21890068.0,3219472.0
OR,227132992.0,246854460.0,1988796.0,35034984.0,81162668.0,2426384.0,3047960.0,72359996.0,30133520.0,237832656.0,22767664.0,54329288.0,33424260.0,24712072.0,6233624.0,126399644.0,0.0,436876.0,155597828.0,41125612.0,272399872.0,240366848.0,1556864.0,5221414692.0,11172168.0,160588648.0,108891468.0,23550728.0,106594744.0,332925092.0,58262008.0,5098643196.0,257233096.0,8284896.0,5319824.0,729558392.0,19915524.0,367136.0,12100512.0,4890104.0,47429496.0,246936660.0,205424196.0,0.0,241045612.0,310714516.0,10655404.0,141244028.0,27429460.0
PA,3232689472.0,2381500596.0,64647068.0,1905387244.0,62769308.0,1736451548.0,1325676940.0,170798484.0,235012524.0,2515147180.0,124108956.0,141299896.0,502502036.0,612872932.0,71291096.0,1382517392.0,110855000.0,61470084.0,1116356324.0,1951055500.0,1092338124.0,1529180076.0,36862452.0,5755800568.0,371735608.0,1519253892.0,199373808.0,198086548.0,76595984.0,480216760.0,447522384.0,5962919192.0,318074632.0,564225532.0,217544380.0,3125272776.0,27501204.0,276946936.0,93371816.0,415441324.0,278015172.0,1960236324.0,1374903388.0,48717960.0,248972240.0,814285612.0,18847460.0,651893336.0,239906400.0
PR,322898664.0,336170060.0,257676928.0,65107004.0,229296412.0,162000.0,1269240.0,0.0,41956756.0,215862020.0,1680040.0,392105400.0,27268460.0,51717668.0,106961460.0,87659196.0,48275056.0,5961188.0,510472.0,83419648.0,291918940.0,193904700.0,622568.0,1800440128.0,52921584.0,217200052.0,22057780.0,38513032.0,10308248.0,164944368.0,23558128.0,1903171392.0,11816508.0,296387428.0,216222324.0,664979216.0,8396252.0,34527132.0,215198400.0,167799148.0,24218836.0,389566852.0,90027228.0,56218400.0,35218788.0,90895696.0,117151380.0,210737420.0,38269500.0
RI,21698056.0,2168504.0,264848.0,1690660.0,518804.0,0.0,0.0,0.0,3627912.0,16513428.0,360764.0,68486136.0,11836148.0,3814288.0,0.0,12791792.0,11672.0,0.0,121584.0,143380.0,32893056.0,13899756.0,1442896.0,397460464.0,0.0,14056944.0,8463056.0,0.0,57808.0,16821936.0,18380260.0,411339912.0,4215724.0,70469608.0,5724612.0,22722656.0,1012504.0,0.0,188720.0,11682732.0,917556.0,20109572.0,16212000.0,0.0,4788132.0,15844892.0,0.0,46514652.0,3213800.0
